Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
salva_ballesteros,2020-11-12T22:12:58Z,Tier 1,1,1,recurring,false
2kazmir7,2020-11-13T22:15:05Z,Tier 1,1,1,gift,false
s0kratesmusica,2020-11-24T23:32:48Z,Tier 1,1,1,recurring,false
cbuff12,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
noooobdad123,2020-11-03T01:09:55Z,Tier 1,1,1,recurring,false
ieanandcuisine,2020-10-29T23:49:32Z,Tier 1,1,1,recurring,false
sparemonkeystudio,2020-11-24T02:58:37Z,Tier 1,2,2,recurring,false
iggy1ggy,2020-10-24T16:34:28Z,Tier 1,2,2,subtoken,false
amedinav,2020-11-21T23:32:00Z,Tier 3,2,2,recurring,false
samirfrommiami,2020-11-24T22:42:29Z,Tier 1,1,1,gift,false
adilcmusic,2020-11-13T21:52:41Z,Tier 2,1,1,recurring,false
ooyahsux,2020-11-22T05:18:26Z,Tier 1,1,1,recurring,false
eddie_e216,2020-11-12T22:23:58Z,Tier 1,1,1,gift,false
hollowbastion7,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
prod_lucas,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
drewdat19,2020-11-05T01:22:41Z,Tier 1,1,1,gift,false
glimpsefl,2020-10-31T03:17:41Z,Tier 1,1,1,gift,false
mixedbyauden,2020-11-13T22:15:05Z,Tier 1,2,2,gift,false
kjaye97,2020-11-11T23:35:48Z,Tier 1,1,1,gift,false
daidiegomier,2020-11-13T21:52:07Z,Tier 1,1,1,gift,false
gr8ears,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
tanz8078,2020-11-04T23:37:21Z,Tier 1,1,1,gift,false
buffygudwin,2020-10-31T03:45:53Z,Tier 1,1,1,recurring,false
earcandypro,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
iggy1ggy2,2020-11-11T19:21:41Z,Tier 3,1,1,recurring,false
miguelangelcort,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
killadrea,2020-10-16T05:22:59Z,Tier 1,2,2,recurring,false
iamthoreau,2020-10-27T03:41:34Z,Tier 1,1,1,gift,false
joshnorby,2020-11-13T22:15:28Z,Tier 1,1,1,gift,false
i_am_111,2020-11-05T00:43:12Z,Tier 1,1,1,recurring,false
yungelu,2020-11-06T23:32:29Z,Tier 1,1,1,prime,false
jaykodaline,2020-10-31T03:13:52Z,Tier 1,1,1,prime,false
franjotah,2020-11-04T23:37:21Z,Tier 1,1,1,gift,false
jrkeys,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
mouztrap,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
el314b,2020-11-13T22:15:28Z,Tier 1,1,1,gift,false
ludvibr,2020-11-11T23:45:35Z,Tier 1,1,1,recurring,false
khyl_lemmehearthat,2020-11-24T02:53:17Z,Tier 1,2,2,recurring,false
edrmix,2020-11-12T00:33:19Z,Tier 1,1,1,prime,false
anomic84,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
elliotdavies,2020-11-04T23:43:08Z,Tier 1,1,1,recurring,false
iamjustreallygood,2020-11-11T23:48:46Z,Tier 1,1,1,gift,false
tonybendicion,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
reebsnak,2020-11-12T04:58:28Z,Tier 1,1,1,gift,false
mrjjdl,2020-10-31T03:59:32Z,Tier 1,1,1,gift,false
tdrjb,2020-11-11T23:52:20Z,Tier 1,1,1,recurring,false
davidbeatle,2020-11-13T22:13:20Z,Tier 1,1,1,gift,false
ibrowwn,2020-10-08T20:51:31Z,Tier 1,2,2,recurring,true
vincenzonoise,2020-11-13T20:40:09Z,Tier 1,2,2,prime,false
fliko_,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
mordendavid,2020-11-12T20:03:45Z,Tier 3,2,2,recurring,false
vanickachan,2020-10-25T19:34:58Z,Tier 1,1,1,prime,false
crescens22,2020-11-13T22:15:05Z,Tier 1,1,1,gift,false
ohdecay,2020-11-05T21:44:48Z,Tier 1,1,1,subtoken,false
keveinquiles,2020-11-09T08:34:38Z,Tier 1,2,2,subtoken,true
yuki_________________,2020-11-24T03:22:48Z,Tier 1,2,2,subtoken,false
manlikemurray,2020-11-13T02:12:56Z,Tier 1,1,1,recurring,false
brophmusic,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
oliverlundstroem,2020-11-02T22:09:17Z,Tier 1,1,1,subtoken,false
lebrunjemz_,2020-11-07T01:27:06Z,Tier 1,1,1,recurring,false
prettyboitrap,2020-11-03T01:17:51Z,Tier 1,1,1,prime,false
tomyohmy,2020-11-04T23:47:20Z,Tier 1,1,1,gift,false
imcymk,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
chookymusic,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
jesonhuang,2020-10-09T04:54:56Z,Tier 1,2,2,recurring,false
prodbydahm,2020-11-24T06:05:42Z,Tier 1,2,2,recurring,false
riallomusic,2020-10-31T03:07:24Z,Tier 1,1,1,gift,false
messina_chris,2020-11-13T17:33:57Z,Tier 3,1,1,gift,false
mixedbytra,2020-11-05T01:22:41Z,Tier 1,1,1,gift,false
okaycoby,2020-11-12T22:23:58Z,Tier 1,1,1,gift,false
ysoblank,2020-11-12T22:56:38Z,Tier 1,1,1,gift,false
tiagoderrico,2020-10-31T03:59:32Z,Tier 1,1,1,gift,false
angeltfc_,2020-10-08T23:33:07Z,Tier 1,2,2,recurring,false
mmoniker,2020-10-10T05:20:26Z,Tier 1,2,2,recurring,false
ramzoid2,2020-10-08T22:55:59Z,Tier 1,2,2,recurring,false
nomedecotorra,2020-10-28T22:26:16Z,Tier 1,1,1,recurring,false
mattbangmusic,2020-11-04T23:37:21Z,Tier 1,1,1,gift,false
coconut_wav,2020-10-08T22:09:46Z,Tier 1,2,2,recurring,false
jaradewerd,2020-10-25T14:58:13Z,Tier 1,2,2,recurring,false
botanimage,2020-11-12T22:23:58Z,Tier 1,1,1,gift,false
hendrickvalera,2020-11-11T23:31:48Z,Tier 1,2,2,recurring,false
chibutheone,2020-11-17T08:09:00Z,Tier 1,1,1,prime,false
dannyboh2610,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
nelko34,2020-10-31T03:08:55Z,Tier 1,1,1,prime,false
zcb_,2020-10-31T03:08:06Z,Tier 1,1,1,gift,false
niikoxswae,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
jayfloran,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
blackdaveblackdave,2020-11-11T23:39:52Z,Tier 1,1,1,gift,false
brockchapman,2020-11-15T13:45:24Z,Tier 1,1,1,recurring,false
gnitticlx,2020-11-11T23:57:28Z,Tier 3,2,2,recurring,false
rbethancourt,2020-10-26T13:19:06Z,Tier 1,1,1,subtoken,false
jackolat82,2020-11-07T00:40:11Z,Tier 1,1,1,gift,false
sependeros,2020-10-13T15:40:23Z,Tier 1,2,2,recurring,false
eddieruxspin,2020-11-12T19:42:25Z,Tier 1,1,1,recurring,false
whittwickie,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
styleszmedia,2020-11-05T01:22:41Z,Tier 1,1,1,gift,false
dashymere,2020-11-24T02:53:17Z,Tier 1,2,2,recurring,false
